,event_key,total_person_count,injured_person_count,Minor_count,Serious_count,Fatal_count,ev_id,Aircraft_key
260,20080409X00441_1,1.0,1.0,0.0,1.0,0.0,20080409X00441,1
261,20080409X00442_1,1.0,1.0,0.0,1.0,0.0,20080409X00442,1
262,20080409X00443_1,10.0,10.0,0.0,0.0,10.0,20080409X00443,1
263,20080409X00445_1,2.0,0.0,0.0,0.0,0.0,20080409X00445,1
264,20080410X00447_1,3.0,0.0,0.0,0.0,0.0,20080410X00447,1
265,20080410X00448_1,1.0,1.0,0.0,0.0,1.0,20080410X00448,1
266,20080410X00449_1,2.0,2.0,0.0,0.0,2.0,20080410X00449,1
267,20080410X00450_1,1.0,0.0,0.0,0.0,0.0,20080410X00450,1
268,20080410X00451_1,2.0,2.0,2.0,0.0,0.0,20080410X00451,1
269,20080410X00452_1,1.0,0.0,0.0,0.0,0.0,20080410X00452,1
270,20080410X00453_1,2.0,2.0,0.0,0.0,2.0,20080410X00453,1
271,20080411X00454_1,2.0,0.0,0.0,0.0,0.0,20080411X00454,1
272,20080411X00455_1,2.0,0.0,0.0,0.0,0.0,20080411X00455,1
273,20080411X00456_1,2.0,0.0,0.0,0.0,0.0,20080411X00456,1
274,20080411X00457_1,1.0,0.0,0.0,0.0,0.0,20080411X00457,1
275,20080411X00460_1,1.0,0.0,0.0,0.0,0.0,20080411X00460,1
276,20080411X00461_1,1.0,0.0,0.0,0.0,0.0,20080411X00461,1
277,20080411X00462_1,1.0,0.0,0.0,0.0,0.0,20080411X00462,1
278,20080413X00463_1,2.0,0.0,0.0,0.0,0.0,20080413X00463,1
279,20080413X00464_1,103.0,1.0,0.0,1.0,0.0,20080413X00464,1
280,20080414X00465_1,5.0,0.0,0.0,0.0,0.0,20080414X00465,1
281,20080414X00466_1,1.0,0.0,0.0,0.0,0.0,20080414X00466,1
282,20080414X00467_1,1.0,1.0,0.0,1.0,0.0,20080414X00467,1
283,20080414X00468_1,1.0,0.0,0.0,0.0,0.0,20080414X00468,1
284,20080414X00469_1,1.0,0.0,0.0,0.0,0.0,20080414X00469,1
285,20080414X00470_1,2.0,0.0,0.0,0.0,0.0,20080414X00470,1
286,20080414X00471_1,2.0,0.0,0.0,0.0,0.0,20080414X00471,1
287,20080414X00472_1,1.0,0.0,0.0,0.0,0.0,20080414X00472,1
288,20080414X00473_1,9.0,9.0,8.0,1.0,0.0,20080414X00473,1
289,20080414X00474_1,1.0,1.0,0.0,1.0,0.0,20080414X00474,1
290,20080414X00475_1,1.0,0.0,0.0,0.0,0.0,20080414X00475,1
291,20080415X00481_1,1.0,0.0,0.0,0.0,0.0,20080415X00481,1
292,20080415X00482_1,2.0,1.0,1.0,0.0,0.0,20080415X00482,1
293,20080415X00483_1,2.0,2.0,0.0,0.0,2.0,20080415X00483,1
294,20080415X00484_1,2.0,0.0,0.0,0.0,0.0,20080415X00484,1
295,20080415X00485_1,4.0,0.0,0.0,0.0,0.0,20080415X00485,1
296,20080415X00486_1,2.0,0.0,0.0,0.0,0.0,20080415X00486,1
297,20080415X00487_1,1.0,0.0,0.0,0.0,0.0,20080415X00487,1
298,20080415X00488_1,1.0,0.0,0.0,0.0,0.0,20080415X00488,1
299,20080416X00489_1,3.0,0.0,0.0,0.0,0.0,20080416X00489,1
300,20080416X00490_1,2.0,0.0,0.0,0.0,0.0,20080416X00490,1
301,20080416X00492_1,3.0,2.0,2.0,0.0,0.0,20080416X00492,1
302,20080416X00493_1,2.0,0.0,0.0,0.0,0.0,20080416X00493,1
303,20080416X00494_1,1.0,1.0,0.0,1.0,0.0,20080416X00494,1
304,20080416X00495_1,1.0,0.0,0.0,0.0,0.0,20080416X00495,1
305,20080416X00496_1,1.0,1.0,0.0,0.0,1.0,20080416X00496,1
306,20080416X00497_1,1.0,0.0,0.0,0.0,0.0,20080416X00497,1
307,20080416X00498_1,1.0,0.0,0.0,0.0,0.0,20080416X00498,1
308,20080416X00499_1,1.0,1.0,1.0,0.0,0.0,20080416X00499,1
309,20080416X00500_1,2.0,2.0,1.0,1.0,0.0,20080416X00500,1
310,20080417X00501_1,2.0,2.0,1.0,1.0,0.0,20080417X00501,1
311,20080417X00502_1,2.0,0.0,0.0,0.0,0.0,20080417X00502,1
312,20080417X00503_1,1.0,0.0,0.0,0.0,0.0,20080417X00503,1
313,20080417X00505_1,1.0,1.0,0.0,0.0,1.0,20080417X00505,1
314,20080417X00506_1,2.0,0.0,0.0,0.0,0.0,20080417X00506,1
315,20080417X00507_1,2.0,0.0,0.0,0.0,0.0,20080417X00507,1
316,20080417X00508_1,2.0,0.0,0.0,0.0,0.0,20080417X00508,1
317,20080417X00509_1,2.0,1.0,1.0,0.0,0.0,20080417X00509,1
318,20080417X00510_1,1.0,1.0,1.0,0.0,0.0,20080417X00510,1
319,20080417X00511_1,2.0,0.0,0.0,0.0,0.0,20080417X00511,1
320,20080418X00513_1,1.0,1.0,1.0,0.0,0.0,20080418X00513,1
321,20080418X00514_1,1.0,1.0,1.0,0.0,0.0,20080418X00514,1
322,20080418X00515_1,1.0,0.0,0.0,0.0,0.0,20080418X00515,1
323,20080418X00516_1,1.0,0.0,0.0,0.0,0.0,20080418X00516,1
324,20080418X00518_1,2.0,0.0,0.0,0.0,0.0,20080418X00518,1
325,20080421X00519_1,1.0,1.0,0.0,0.0,1.0,20080421X00519,1
326,20080421X00520_1,2.0,1.0,1.0,0.0,0.0,20080421X00520,1
327,20080421X00522_1,1.0,0.0,0.0,0.0,0.0,20080421X00522,1
