,accident_id,engine_ELEC,engine_GTFN,engine_HR,engine_LR,engine_NONE,engine_REC,engine_TF,engine_TJ,engine_TP,engine_TS,engine_UNK
362,20080411X00455_1,0,0,0,0,0,1,0,0,0,0,0
363,20081003X41448_1,0,0,0,0,0,1,0,0,0,0,0
364,20080809X01195_1,0,0,0,0,0,1,0,0,0,0,0
365,20080611X00837_1,0,0,0,0,0,1,0,0,0,0,0
366,20080410X00449_1,0,0,0,0,0,1,0,0,0,0,0
368,20080609X00816_1,0,0,0,0,0,1,0,0,0,0,0
369,20080411X00457_1,0,0,0,0,0,1,0,0,0,0,0
370,20080610X00819_1,0,0,0,0,0,1,0,0,0,0,0
371,20080415X00481_1,0,0,0,0,0,1,0,0,0,0,0
372,20080415X00482_1,0,0,0,0,0,1,0,0,0,0,0
373,20080421X00522_1,0,0,0,0,0,1,0,0,0,0,0
374,20080421X00523_1,0,0,0,0,0,0,0,0,1,0,0
376,20080606X00806_1,0,0,0,0,0,1,0,0,0,0,0
377,20080411X00461_1,0,0,0,0,0,1,0,0,0,0,0
378,20080423X00532_1,0,0,0,0,0,1,0,0,0,0,0
379,20080414X00465_1,0,0,0,0,0,0,1,0,0,0,0
380,20080505X00596_1,0,0,0,0,0,1,0,0,0,0,0
381,20080416X00496_1,0,0,0,0,0,1,0,0,0,0,0
382,20080410X00451_1,0,0,0,0,0,0,0,0,0,1,0
383,20080410X00450_1,0,0,0,0,0,1,0,0,0,0,0
384,20080507X00624_1,0,0,0,0,0,1,0,0,0,0,0
385,20080414X00466_1,0,0,0,0,0,1,0,0,0,0,0
386,20080502X00583_1,0,0,0,0,0,1,0,0,0,0,0
387,20080617X00871_1,0,0,0,0,0,1,0,0,0,0,0
388,20080508X00630_1,0,0,0,0,0,1,0,0,0,0,0
389,20080414X00473_1,0,0,0,0,0,1,0,0,0,0,0
390,20080520X00703_1,0,0,0,0,0,1,0,0,0,0,0
391,20080414X00469_1,0,0,0,0,0,0,0,0,1,0,0
393,20080414X00467_1,0,0,0,0,0,1,0,0,0,0,0
394,20080417X00508_1,0,0,0,0,0,1,0,0,0,0,0
395,20080417X00509_1,0,0,0,0,0,1,0,0,0,0,0
396,20080417X00505_1,0,0,0,0,0,1,0,0,0,0,0
397,20080417X00510_1,0,0,0,0,0,1,0,0,0,0,0
398,20080513X00662_1,0,0,0,0,0,1,0,0,0,0,0
399,20080425X00548_1,0,0,0,0,0,1,0,0,0,0,0
401,20080430X00567_1,0,0,0,0,0,1,0,0,0,0,0
402,20080502X00581_1,0,0,0,0,0,1,0,0,0,0,0
403,20080528X00736_1,0,0,0,0,0,1,0,0,0,0,0
404,20080417X00502_1,0,0,0,0,0,1,0,0,0,0,0
405,20080506X00617_1,0,0,0,0,0,1,0,0,0,0,0
406,20080416X00500_1,0,0,0,0,0,1,0,0,0,0,0
407,20080430X00573_1,0,0,0,0,0,1,0,0,0,0,0
408,20080416X00499_1,0,0,0,0,0,1,0,0,0,0,0
409,20080415X00483_1,0,0,0,0,0,1,0,0,0,0,0
410,20080415X00486_1,0,0,0,0,0,1,0,0,0,0,0
411,20080528X00734_1,0,0,0,0,0,1,0,0,0,0,0
413,20080523X00717_1,0,0,0,0,0,1,0,0,0,0,0
414,20080422X00529_1,0,0,0,0,0,1,0,0,0,0,0
415,20080422X00530_1,0,0,0,0,0,1,0,0,0,0,0
417,20080514X00665_1,0,0,0,0,0,0,1,0,0,0,0
419,20080501X00578_1,0,0,0,0,0,1,0,0,0,0,0
420,20080423X00534_1,0,0,0,0,0,0,0,0,1,0,0
421,20080417X00503_1,0,0,0,0,0,1,0,0,0,0,0
422,20080417X00501_1,0,0,0,0,0,1,0,0,0,0,0
423,20080417X00507_1,0,0,0,0,0,0,0,0,1,0,0
425,20080506X00619_1,0,0,0,0,0,1,0,0,0,0,0
426,20080527X00733_1,0,0,0,0,0,1,0,0,0,0,0
427,20080418X00514_1,0,0,0,0,0,1,0,0,0,0,0
428,20080515X00681_1,0,0,0,0,0,0,0,0,0,0,0
429,20080429X00563_1,0,0,0,0,0,1,0,0,0,0,0
430,20080421X00524_1,0,0,0,0,0,0,0,0,0,1,0
431,20080425X00550_1,0,0,0,0,0,1,0,0,0,0,0
432,20080425X00552_1,0,0,0,0,0,1,0,0,0,0,0
433,20080619X00883_1,0,0,0,0,0,1,0,0,0,0,0
434,20080430X00569_1,0,0,0,0,0,1,0,0,0,0,0
435,20080430X00571_1,0,0,0,0,0,0,0,0,1,0,0
436,20080428X00558_1,0,0,0,0,0,1,0,0,0,0,0
437,20080502X00585_1,0,0,0,0,0,1,0,0,0,0,0
438,20080626X00922_1,0,0,0,0,0,1,0,0,0,0,0
439,20080508X00632_1,0,0,0,0,0,1,0,0,0,0,0
440,20080425X00554_1,0,0,0,0,0,0,1,0,0,0,0
442,20080425X00555_1,0,0,0,0,0,1,0,0,0,0,0
443,20080529X00754_1,0,0,0,0,0,1,0,0,0,0,0
444,20080611X00830_1,0,0,0,0,0,1,0,0,0,0,0
445,20080523X00714_1,0,0,0,0,0,1,0,0,0,0,0
446,20080423X00533_1,0,0,0,0,0,1,0,0,0,0,0
447,20080516X00687_1,0,0,0,0,0,1,0,0,0,0,0
448,20080519X00697_1,0,0,0,0,0,1,0,0,0,0,0
449,20080521X00708_1,0,0,0,0,0,1,0,0,0,0,0
450,20080502X00586_1,0,0,0,0,0,1,0,0,0,0,0
451,20080502X00582_1,0,0,0,0,0,1,0,0,0,0,0
452,20080425X00549_1,0,0,0,0,0,1,0,0,0,0,0
453,20080425X00553_1,0,0,0,0,0,1,0,0,0,0,0
454,20080425X00551_1,0,0,0,0,0,1,0,0,0,0,0
455,20080518X00693_1,0,0,0,0,0,1,0,0,0,0,0
456,20080508X00634_1,0,0,0,0,0,1,0,0,0,0,0
457,20080428X00559_1,0,0,0,0,0,1,0,0,0,0,0
458,20080521X00706_1,0,0,0,0,0,1,0,0,0,0,0
459,20080610X00817_1,0,0,0,0,0,1,0,0,0,0,0
460,20080506X00620_1,0,0,0,0,0,1,0,0,0,0,0
461,20080516X00686_1,0,0,0,0,0,1,0,0,0,0,0
462,20080424X00537_1,0,0,0,0,0,1,0,0,0,0,0
463,20080428X00560_1,0,0,0,0,0,1,0,0,0,0,0
464,20080528X00737_1,0,0,0,0,0,1,0,0,0,0,0
465,20080505X00590_1,0,0,0,0,0,0,0,0,1,0,0
